"""    never felt more sad than i am now  @user aww why ?  @user @user its a long story ! sure you wanna know it ? bahaha and thanks for caring btw &lt;heart&gt; ""","""    @user i know , i 'm just so happy for you ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ""","""   @user i don 't mind to hear it i 've got all day and youre welcome & lt <number> """,1.6521739130434783
"""    my big sis is in the clear after horrendous year of chemo and radio . itdoesntgetmuchbetterthanthis !  @user so pleased for you and her . have a great time at pqotd ! ""","""    @user thank you!! its such a huge relief :) ""","""   @user thank you gandalf . hope you are feeling lively and bouncy again """,4.8695652173913047
"""    dear hot water heater , forcing me to take a cold shower is only making me want to take you out back for target practice . that is all . fb  @user that sucks ! ""","""    @user yup. i've told my landlord twice about this but he apparently doesn't care. ""","""   @user it sure does . on the other hand , makes the showers quick . """,4.8260869565217392
"""    hope i didnt have any work to do over the break cuz i didnt pack anything that relates to school ! !  man @user hates school but is in college lol ""","""    @user i havent been to jamba juice in like &lt;number&gt; days ""","""   @user lol . im tryna make a living ! ! ! """,1.7826086956521738
"""    @user do we have italian tomorrow ?  @user i do . who do you have for italian ? ""","""    @user @user is it you or grace who is taking the coffee ""","""   @user arent you in my class anymore ? """,1.2173913043478262
"""    you know , the coalition forced an election and the canadian public isn 't playing or watching . they 're already decided . cdnpoli elxn41 nhl  @user this is what worries me . voting is a right , but we have to act on it in a responsible manner ie . make an informed vote ! ! ! ""","""    &lt;third_speaker&gt; @user high prices , no selection service quality , why would people shop local ? responsibility rests on business too ! @user ""","""   @user the voters will be very informed , and very fed up with the shenanigans in ottawa . cdnpoli """,1.4347826086956521
"""    you know , the coalition forced an election and the canadian public isn 't playing or watching . they 're already decided . cdnpoli elxn41 nhl  @user this is what worries me . voting is a right , but we have to act on it in a responsible manner ie . make an informed vote ! ! ! ""","""    @user yes it 's ends &lt;number&gt; th march . on friday . gonna vote . ""","""   @user the voters will be very informed , and very fed up with the shenanigans in ottawa . cdnpoli """,4.1304347826086953
"""    dearest ! question . how many thousands of people can panaad occupy ?  @user panaad has &lt;number&gt; k seat capacity while rizal has &lt;number&gt; k thats why they choose rizal i think . ""","""    @user makes sense. thanks! ""","""   now i know about the siting capacity . thanks for the info @user great evening . """,4.6086956521739131
"""    dearest ! question . how many thousands of people can panaad occupy ?  @user panaad has &lt;number&gt; k seat capacity while rizal has &lt;number&gt; k thats why they choose rizal i think . ""","""    @user you also have no **unknown** ""","""   now i know about the siting capacity . thanks for the info @user great evening . """,2.3913043478260869
"""    @user it has reminded me i have yet to own any merchandise . i may get a mug .  @user a mug would be amazing . or a tea towel . something cheap and tacky . ""","""    @user I was maybe thinking keychain... :p ""","""   @user what about the fridge lol . """,4.8695652173913047
"""    i need to learn how to play the guitar ! ! !  @user get guitar hero . thats how my baby knw how to use a turntable frm dj hero ""","""    @user bulls vs pacers ""","""   @user okay imma get it forreal and tell u how that work out ! ! ! """,1.1304347826086956
"""    never felt more sad than i am now  @user aww why ?  @user @user its a long story ! sure you wanna know it ? bahaha and thanks for caring btw &lt;heart&gt; ""","""    @user @user ewww no my old vocaloid fanfiction is such garbage lol . i should upload new stuff ""","""   @user i don 't mind to hear it i 've got all day and youre welcome & lt <number> """,1.3478260869565217
"""    @user it has reminded me i have yet to own any merchandise . i may get a mug .  @user a mug would be amazing . or a tea towel . something cheap and tacky . ""","""    @user oh i thought you meant like . a store sold them . l link me ? ""","""   @user what about the fridge lol . """,2.5652173913043477
"""    why oh why do i want to do a musical for script frenzy ? why do i want to torture myself so ?  @user a musical ? ? ? spectacular ! will you be composing the music as well ? ""","""    @user ha ! thx . i watched wes craven 's new nightmare last night on dvd ""","""   @user yes i will be . and since i totally suck at writing music , this will be quite the undertaking for me . """,1.7391304347826086
"""    ice cream will always be my true first love  @user mint chocolate chip ? ""","""    @user i 'm not sure yet . i 'm just a little bit confused . ""","""   @user haha it doesn 't even matter any kind honestly """,2.7391304347826089
"""    sooo , hollister is becoming the new aeropostale incase u didn 't know . thank me later  @user yea , i noticed that lol i dont like either brands that much ""","""    @user yeah. ive always been more of a guess person myself ""","""   @user this dude is braggin on how he be rockin hollister . uhhmm ok u like <number> yrs late lol """,4.2173913043478262
"""    why oh why do i want to do a musical for script frenzy ? why do i want to torture myself so ?  @user a musical ? ? ? spectacular ! will you be composing the music as well ? ""","""    @user love you bbz ""","""   @user yes i will be . and since i totally suck at writing music , this will be quite the undertaking for me . """,1.8695652173913044
"""    sooo , hollister is becoming the new aeropostale incase u didn 't know . thank me later  @user yea , i noticed that lol i dont like either brands that much ""","""    @user lol i know . i 'm just saying . ""","""   @user this dude is braggin on how he be rockin hollister . uhhmm ok u like <number> yrs late lol """,4.3043478260869561
"""    my headphones are broke ! n i 'm damn near tears . does anybody know if the sell skull candy 's downtown ?  @user radioshack sells them so maybe they got them there ""","""    @user everybody 's heard about the word ""","""   @user yeah i need to go to the mall . i need a new jacket ! """,1.5652173913043479
"""    i need to learn how to play the guitar ! ! !  @user get guitar hero . thats how my baby knw how to use a turntable frm dj hero ""","""    @user get taught how to play the guitar easily with this &lt;url&gt; make karma and retweet ""","""   @user okay imma get it forreal and tell u how that work out ! ! ! """,3.4782608695652173
"""    my big sis is in the clear after horrendous year of chemo and radio . itdoesntgetmuchbetterthanthis !  @user so pleased for you and her . have a great time at pqotd ! ""","""    @user great show yesterday . judge karen rocks . i didn 't know her show was real , i thought they were all actors . lol ""","""   @user thank you gandalf . hope you are feeling lively and bouncy again """,1.3913043478260869
"""    haven 't used my ipod touch in so long i cant even remember my password  @user at least your ipod works ! ! ! ! ! did u watch bigtimebeachparty ""","""    @user yeah. i'm pretty shocked i haven't lost or smashed it or something. and no - not yet! is it any good? ""","""   @user good point , but at least yours didn 't fall down the toilet then smashed the screen ! ! ahaa , yeah , twice ! """,4.8695652173913047
"""    sooo , hollister is becoming the new aeropostale incase u didn 't know . thank me later  @user yea , i noticed that lol i dont like either brands that much ""","""    @user are you going anywhere nice ? ""","""   @user this dude is braggin on how he be rockin hollister . uhhmm ok u like <number> yrs late lol """,1.8695652173913044
"""    my big sis is in the clear after horrendous year of chemo and radio . itdoesntgetmuchbetterthanthis !  @user so pleased for you and her . have a great time at pqotd ! ""","""    @user how are you ? ""","""   @user thank you gandalf . hope you are feeling lively and bouncy again """,2.7826086956521738
"""    my girlfriend 's dad grills like a boss grillmaster  @user one time , brad and my dad decided to make a huge fire while grilling . just ask @user ""","""    @user wow . i love your new outfits and you are awesome ""","""   @user don 't know if i believe it . this guy knows what he 's doing . """,1.4782608695652173
"""    i need to learn how to play the guitar ! ! !  @user get guitar hero . thats how my baby knw how to use a turntable frm dj hero ""","""    @user they mailed the free iphone i signed up &lt;number&gt; days ago &lt;url&gt; ""","""   @user okay imma get it forreal and tell u how that work out ! ! ! """,1.1304347826086956
"""    have you ever met mariah in person or dreamed that you did ? ? lym ! ! ! mariahmoments @user lambily  @user i dreamt that i met @user on a mall and she invited me to her concert and gave me a hug lol . ""","""    @user @user i 'm sorry ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ""","""   @user @user aaaww , that 's so sweet ! i 've had more dreams than i can count about meeting her - in v . i . p , at parties chatting away """,1.2608695652173914
"""    sooo , hollister is becoming the new aeropostale incase u didn 't know . thank me later  @user yea , i noticed that lol i dont like either brands that much ""","""    @user nawww voldemorts sooo cute at the end with his little smile ""","""   @user this dude is braggin on how he be rockin hollister . uhhmm ok u like <number> yrs late lol """,1.0869565217391304
"""    hope i didnt have any work to do over the break cuz i didnt pack anything that relates to school ! !  man @user hates school but is in college lol ""","""    @user wtv. @user is at a shitty state school anyways. ""","""   @user lol . im tryna make a living ! ! ! """,4.4782608695652177
"""    @user do we have italian tomorrow ?  @user i do . who do you have for italian ? ""","""    @user i 'm from &lt;unk&gt; . ""","""   @user arent you in my class anymore ? """,1.6956521739130435
"""    haven 't used my ipod touch in so long i cant even remember my password  @user at least your ipod works ! ! ! ! ! did u watch bigtimebeachparty ""","""    @user i 'm not sure . i just got back from the &lt;unk&gt; . i 'm not sure if i can get it on itunes or something . ""","""   @user good point , but at least yours didn 't fall down the toilet then smashed the screen ! ! ahaa , yeah , twice ! """,3.652173913043478
"""    @user are you getting a @user t - shirt ? xx  @user yes i am you ? x  @user nicee , yeah i think so d xx  @user ahh thats cool , what colour ? ""","""    @user &lt;unk&gt; , &lt;unk&gt; , &lt;unk&gt; , &lt;unk&gt; , &lt;unk&gt; , &lt;unk&gt; , &lt;unk&gt; , &lt;unk&gt; , &lt;unk&gt; , &lt;unk&gt; , &lt;unk&gt; , &lt;unk&gt; , &lt;unk&gt; , &lt;unk&gt; , &lt;unk&gt; , &lt;unk&gt; ""","""   @user not sure yet , and you ? x """,1.3913043478260869
"""    @user thanks , u really my best friend on twitter  @user sent you a dm , ok ?  @user u sent my dm ? sent what ? ""","""    @user i 'm not sure . i 'm just trying to figure out what i 'm doing . ""","""   @user it 's nothing weird , just wanted to let you know something in your dm 's . ok ? """,3.1304347826086958
"""    why oh why do i want to do a musical for script frenzy ? why do i want to torture myself so ?  @user a musical ? ? ? spectacular ! will you be composing the music as well ? ""","""    @user why r u in da house foo ""","""   @user yes i will be . and since i totally suck at writing music , this will be quite the undertaking for me . """,1.7391304347826086
"""    my headphones are broke ! n i 'm damn near tears . does anybody know if the sell skull candy 's downtown ?  @user radioshack sells them so maybe they got them there ""","""    @user right . let her sleep on it . there may be underlyinf reasons like someone in her class she doesn 't like . ""","""   @user yeah i need to go to the mall . i need a new jacket ! """,1.173913043478261
"""    my big sis is in the clear after horrendous year of chemo and radio . itdoesntgetmuchbetterthanthis !  @user so pleased for you and her . have a great time at pqotd ! ""","""    doesn 't it have the opposite effect ? ? rt @user @user botox ? ""","""   @user thank you gandalf . hope you are feeling lively and bouncy again """,1.4782608695652173
"""    @user do we have italian tomorrow ?  @user i do . who do you have for italian ? ""","""    @user transcend &lt;number&gt; gb class &lt;number&gt; will do the job ? ""","""   @user arent you in my class anymore ? """,1.5217391304347827
"""    dear children ac dc , aerosmith and van halen were popular before guitar hero . please go away . love , ruffus .  @user guitar hero kinda ruined the classic rock metal thing for me . \ i was raised on stuff like that . ""","""    @user i 'm a country . ""","""   @user @user meh , i don 't let stuff ruin things for me . eloquent maybe it 's relevant that i have <number> gh games . & gt _ & gt """,1.6086956521739131
"""    hope i didnt have any work to do over the break cuz i didnt pack anything that relates to school ! !  man @user hates school but is in college lol ""","""    @user i 'd phone in sick d ""","""   @user lol . im tryna make a living ! ! ! """,2.4347826086956523
"""    ice cream will always be my true first love  @user mint chocolate chip ? ""","""    @user ewwww , i hate mint chocolate ""","""   @user haha it doesn 't even matter any kind honestly """,5.0
"""    my headphones are broke ! n i 'm damn near tears . does anybody know if the sell skull candy 's downtown ?  @user radioshack sells them so maybe they got them there ""","""    @user i 'm not sure if i can get it . i 'm not sure if i 'm gonna buy it . ""","""   @user yeah i need to go to the mall . i need a new jacket ! """,3.8695652173913042
"""    i need to learn how to play the guitar ! ! !  @user get guitar hero . thats how my baby knw how to use a turntable frm dj hero ""","""    @user lol. pretty sure guitar hero won't cut it. ""","""   @user okay imma get it forreal and tell u how that work out ! ! ! """,4.8260869565217392
"""    never felt more sad than i am now  @user aww why ?  @user @user its a long story ! sure you wanna know it ? bahaha and thanks for caring btw &lt;heart&gt; ""","""    @user why u sadd ? u shouldnt bee ""","""   @user i don 't mind to hear it i 've got all day and youre welcome & lt <number> """,4.2173913043478262
"""    have you ever met mariah in person or dreamed that you did ? ? lym ! ! ! mariahmoments @user lambily  @user i dreamt that i met @user on a mall and she invited me to her concert and gave me a hug lol . ""","""    @user hais not yet ""","""   @user @user aaaww , that 's so sweet ! i 've had more dreams than i can count about meeting her - in v . i . p , at parties chatting away """,2.0434782608695654
"""    hope i didnt have any work to do over the break cuz i didnt pack anything that relates to school ! !  man @user hates school but is in college lol ""","""    @user lol i 'm not even gonna be in the same school ""","""   @user lol . im tryna make a living ! ! ! """,3.0434782608695654
"""    dear hot water heater , forcing me to take a cold shower is only making me want to take you out back for target practice . that is all . fb  @user that sucks ! ""","""    @user i live in winter springs . &lt;number&gt; mins from work ""","""   @user it sure does . on the other hand , makes the showers quick . """,1.7391304347826086
"""    i need to learn how to play the guitar ! ! !  @user get guitar hero . thats how my baby knw how to use a turntable frm dj hero ""","""    @user i 'm not sure if i 'm going to be able to get it . but i 'm not sure if i can get it on itunes or not . ""","""   @user okay imma get it forreal and tell u how that work out ! ! ! """,1.7826086956521738
"""    @user do we have italian tomorrow ?  @user i do . who do you have for italian ? ""","""    @user dude. we're in the same class. ""","""   @user arent you in my class anymore ? """,4.6521739130434785
"""    dear hot water heater , forcing me to take a cold shower is only making me want to take you out back for target practice . that is all . fb  @user that sucks ! ""","""    @user lol its the other way around man . ""","""   @user it sure does . on the other hand , makes the showers quick . """,2.0
"""    why oh why do i want to do a musical for script frenzy ? why do i want to torture myself so ?  @user a musical ? ? ? spectacular ! will you be composing the music as well ? ""","""    @user i 'm not sure . i 'm just a &lt;unk&gt; . ""","""   @user yes i will be . and since i totally suck at writing music , this will be quite the undertaking for me . """,3.3913043478260869
"""    haven 't used my ipod touch in so long i cant even remember my password  @user at least your ipod works ! ! ! ! ! did u watch bigtimebeachparty ""","""    @user i am from from emo and elmo , big bird , oscar , bert and ernie ""","""   @user good point , but at least yours didn 't fall down the toilet then smashed the screen ! ! ahaa , yeah , twice ! """,1.3478260869565217
"""    dearest ! question . how many thousands of people can panaad occupy ?  @user panaad has &lt;number&gt; k seat capacity while rizal has &lt;number&gt; k thats why they choose rizal i think . ""","""    @user mind you , my last tweet was not , strictly speaking , oed . ""","""   now i know about the siting capacity . thanks for the info @user great evening . """,1.5217391304347827
"""    @user thanks , u really my best friend on twitter  @user sent you a dm , ok ?  @user u sent my dm ? sent what ? ""","""    @user you'll see... its a surprise :p ""","""   @user it 's nothing weird , just wanted to let you know something in your dm 's . ok ? """,4.7391304347826084
"""    dear hot water heater , forcing me to take a cold shower is only making me want to take you out back for target practice . that is all . fb  @user that sucks ! ""","""    @user i 'm not sure . i 'm just trying to get the &lt;unk&gt; to sleep . ""","""   @user it sure does . on the other hand , makes the showers quick . """,1.5652173913043479
